credit_grade,borrower_count,avg_predicted_pd,observed_default_rate,min_pd,max_pd,portfolio_share
AAA,473,0.02398791248414624,0.0,0.017151750005087396,0.028635029497131422,0.13160823594880355
AA,472,0.032905433782367224,0.0,0.028649445216425554,0.037315528096778676,0.13132999443516974
A,473,0.042909042402445294,0.0,0.03737049660691884,0.04882592330254795,0.13160823594880355
BBB,472,0.05695140174118043,0.0,0.0488828903818701,0.06517063823784942,0.13132999443516974
BB,473,0.0769912507472346,0.0,0.06517484141445877,0.09168461234056122,0.13160823594880355
B,472,0.11269361183102593,0.0,0.09173171987907852,0.13734186261746192,0.13132999443516974
C,473,0.18589806694176275,0.0,0.1374208153589321,0.3320369139079463,0.13160823594880355
D,286,0.13435367263943412,1.0,0.01675720589446464,0.3264795049177999,0.07957707289927657
