credit_grade,borrower_count,avg_pd,avg_lgd,total_ead,total_ecl,avg_ecl,ead_share,ecl_share
AAA,473,0.02398791248414624,0.25,330264652.5,1950588.946724323,4123.866694977427,0.157930130636313,0.03814257879807855
AA,472,0.032905433782367224,0.25,276100690.5,2271863.7274417295,4813.270608986715,0.1320293219070461,0.04442491145454519
A,473,0.042909042402445294,0.25,284908405.5,3054528.6537261093,6457.777280604882,0.13624110651683694,0.05972944738633493
BBB,472,0.05695140174118043,0.4,276757677.0,6291777.845668825,13330.037808620393,0.13234348802499388,0.12303188360696946
BB,473,0.0769912507472346,0.4,270654030.0,8322301.454187879,17594.717662130824,0.12942476886818693,0.16273753603023358
B,472,0.11269361183102593,0.55,258515487.0,16132938.139351685,34179.95368506713,0.12362020677771465,0.31546977914446067
C,473,0.18589806694176275,,241457827.5,0.0,,0.11546335931374105,0.0
D,286,0.13435367263943412,0.7,152548596.0,13115410.475532645,45858.07858577848,0.07294761795516744,0.25646386357937767
