risk_band,borrower_count,avg_predicted_pd,observed_default_rate,min_pd,max_pd
Very Low,719,0.027751369590907356,0.019471488178025034,0.020425413038606854,0.033631671078655015
Low,719,0.040127196440117315,0.04728789986091794,0.03363638292000989,0.0476838662378669
Medium,718,0.059010427767754184,0.05153203342618384,0.047687783301599396,0.07287215218302145
High,719,0.09467535753808143,0.08484005563282336,0.07287301711648629,0.12398191782368502
Very High,719,0.18130141410416975,0.19471488178025034,0.12400368774156047,0.3435454670403625
